REF_DATE,GEO,DGUID,Dairy distribution,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,longitude,latitude
1947-11,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,427281.0,,,t,0,1,1
1947-11,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,146796.0,,,,0,1,1
1947-12,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,366553.0,,,t,0,1,1
1947-12,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,152475.0,,,,0,1,1
1948-01,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,353009.0,,,t,0,1,1
1948-01,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,152038.0,,,,0,1,1
1948-02,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,335097.0,,,t,0,1,1
1948-02,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,143737.0,,,,0,1,1
1948-03,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,404999.0,,,t,0,1,1
1948-03,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,151601.0,,,,0,1,1
1948-04,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,502864.0,,,t,0,1,1
1948-04,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,142427.0,,,,0,1,1
1948-05,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,673252.0,,,t,0,1,1
1948-05,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,148106.0,,,,0,1,1
1948-06,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,867669.0,,,t,0,1,1
1948-06,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,153349.0,,,,0,1,1
1948-07,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,819174.0,,,t,0,1,1
1948-07,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,146796.0,,,,0,1,1
1948-08,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,733106.0,,,t,0,1,1
1948-08,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,136310.0,,,,0,1,1
1948-09,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,647038.0,,,t,0,1,1
1948-09,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,141553.0,,,,0,1,1
1948-10,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,546990.0,,,t,0,1,1
1948-10,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,141990.0,,,,0,1,1
1948-11,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,432961.0,,,t,0,1,1
1948-11,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,145922.0,,,,0,1,1
1948-12,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,385339.0,,,t,0,1,1
1948-12,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,154223.0,,,,0,1,1
1949-01,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,348640.0,,,t,0,1,1
1949-01,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,145485.0,,,,0,1,1
1949-02,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,324611.0,,,t,0,1,1
1949-02,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,138495.0,,,,0,1,1
1949-03,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,408932.0,,,t,0,1,1
